"범죄별","재범기간및종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"협박","3년 초과","소년범죄자 재범기간 및 종류","명","-","1","1","-","-","2","3","3","2","1","5","4","2","6",
"공갈","합계","소년범죄자 재범기간 및 종류","명","157","220","437","706","655","704","1384","635","1072","791","812","844","1022","945",
"공갈","동종재범","소년범죄자 재범기간 및 종류","명","60","75","165","243","244","248","480","250","509","298","306","309","468","465",
"공갈","1개월 이내","소년범죄자 재범기간 및 종류","명","7","10","27","47","30","52","88","34","77","54","66","61","74","74",
"공갈","3개월 이내","소년범죄자 재범기간 및 종류","명","10","16","35","45","70","54","111","58","101","54","55","54","105","103",
"공갈","6개월 이내","소년범죄자 재범기간 및 종류","명","9","14","34","41","39","29","66","46","105","45","53","48","93","88",
"공갈","1년 이내","소년범죄자 재범기간 및 종류","명","30","24","54","84","69","86","162","80","145","82","89","105","126","131",
"공갈","2년 이내","소년범죄자 재범기간 및 종류","명","2","6","11","13","25","16","31","20","50","39","21","27","45","31",
"공갈","3년 이내","소년범죄자 재범기간 및 종류","명","1","3","2","10","10","8","18","8","18","18","15","13","18","30",
"공갈","3년 초과","소년범죄자 재범기간 및 종류","명","1","2","2","3","1","3","4","4","13","6","7","1","7","8",
"공갈","이종재범","소년범죄자 재범기간 및 종류","명","97","145","272","463","411","456","904","385","563","493","506","535","554","480",
"공갈","1개월 이내","소년범죄자 재범기간 및 종류","명","13","15","25","61","43","81","130","45","68","72","104","72","84","70",
"공갈","3개월 이내","소년범죄자 재범기간 및 종류","명","10","10","40","58","93","85","165","76","113","67","93","105","85","103",
"공갈","6개월 이내","소년범죄자 재범기간 및 종류","명","16","21","41","78","65","69","129","54","89","70","71","97","91","66",
"공갈","1년 이내","소년범죄자 재범기간 및 종류","명","44","69","117","179","143","139","299","109","180","172","154","180","184","142",
"공갈","2년 이내","소년범죄자 재범기간 및 종류","명","9","16","29","52","40","55","79","62","66","57","50","56","58","71",
"공갈","3년 이내","소년범죄자 재범기간 및 종류","명","2","8","15","22","20","19","44","24","29","33","27","16","36","23",
"공갈","3년 초과","소년범죄자 재범기간 및 종류","명","3","6","5","13","7","8","58","15","18","22","7","9","16","5",
"약취와유인","합계","소년범죄자 재범기간 및 종류","명","-","2","6","12","7","8","6","15","5","9","7","11","4","7",
"약취와유인","동종재범","소년범죄자 재범기간 및 종류","명","-","-","3","3","2","-","3","8","-","2","2","2","4","5",
"약취와유인","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","1","2","-","-","-","","-","1",
"약취와유인","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","-","-","-","1","-","-","-","","-","-",
"약취와유인","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","-","-","1","2","-","-","-","","-","3",
"약취와유인","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","2","-","1","1","-","2","2","","2","1",
"약취와유인","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","1","-","-","-","-","-","-","-","2","2","-",
"약취와유인","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","2","-","-","-","","-","-",
"약취와유인","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","1","-","-","-","-","-","-","-","","-","-",
"약취와유인","이종재범","소년범죄자 재범기간 및 종류","명","-","2","3","9","5","8","3","7","5","7","5","9","-","2",
"약취와유인","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","2","-","-","-","2","-","-","-","","-","1",
"약취와유인","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","1","1","-","1","1","1","3","-","1",
"약취와유인","6개월 이내","소년범죄자 재범기간 및 종류","명","-","1","-","-","-","2","-","-","-","1","-","1","-","-",
"약취와유인","1년 이내","소년범죄자 재범기간 및 종류","명","-","1","1","5","1","2","2","3","-","3","2","4","-","-",
"약취와유인","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","1","1","3","-","-","3","1","2","","-","-",
"약취와유인","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","1","-","-","1","-","-","-","1","-","-",
"약취와유인","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","1","-","-","-","-","1","1","1","-","","-","-",
"체포와감금","합계","소년범죄자 재범기간 및 종류","명","8","2","8","3","17","7","17","19","56","67","78","100","123","116",
"체포와감금","동종재범","소년범죄자 재범기간 및 종류","명","-","-","3","-","4","1","6","6","37","20","17","33","55","63",
"체포와감금","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","2","1","1","1","-","6","5","2",
"체포와감금","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","1","8","-","3","8","12","16",
"체포와감금","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","1","-","1","8","3","5","4","13","7",
"체포와감금","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","2","-","1","-","3","2","10","7","4","9","15","21",
"체포와감금","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","3","-","1","-","8","4","2","4","9","10",
"체포와감금","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","1","3","3","2","1","6",
"체포와감금","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","1","1","2","-","","-","1",
"체포와감금","이종재범","소년범죄자 재범기간 및 종류","명","8","2","5","3","13","6","11","13","19","47","61","67","68","53",
"체포와감금","1개월 이내","소년범죄자 재범기간 및 종류","명","1","-","-","-","-","-","1","-","3","3","5","7","4","6",
"체포와감금","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","2","-","1","1","4","2","7","10","16","13",
"체포와감금","6개월 이내","소년범죄자 재범기간 및 종류","명","1","-","1","1","-","1","1","2","7","5","5","9","11","7",
"체포와감금","1년 이내","소년범죄자 재범기간 및 종류","명","3","1","1","-","9","2","3","3","1","18","27","32","19","14",
"체포와감금","2년 이내","소년범죄자 재범기간 및 종류","명","1","-","2","1","2","2","2","2","2","7","11","4","9","6",
"체포와감금","3년 이내","소년범죄자 재범기간 및 종류","명","1","1","1","-","-","1","1","1","2","8","3","4","8","6",
"체포와감금","3년 초과","소년범죄자 재범기간 및 종류","명","1","-","-","-","-","-","2","4","-","4","3","1","1","1",
"폭력행위등(손괴,강요,주거침입등)","합계","소년범죄자 재범기간 및 종류","명","","","","","","","","","207","163","140","176","178","198",
"폭력행위등(손괴,강요,주거침입등)","동종재범","소년범죄자 재범기간 및 종류","명","","","","","","","","","96","82","67","65","103","107",
"폭력행위등(손괴,강요,주거침입등)","1개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","17","9","10","6","24","23",
"폭력행위등(손괴,강요,주거침입등)","3개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","22","21","14","15","27","30",
"폭력행위등(손괴,강요,주거침입등)","6개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","21","12","11","16","15","21",
"폭력행위등(손괴,강요,주거침입등)","1년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","19","25","22","14","23","22",
"폭력행위등(손괴,강요,주거침입등)","2년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","9","11","6","8","7","6",
"폭력행위등(손괴,강요,주거침입등)","3년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","5","4","3","5","7","4",
"폭력행위등(손괴,강요,주거침입등)","3년 초과","소년범죄자 재범기간 및 종류","명","","","","","","","","","3","-","1","1","-","1",
"폭력행위등(손괴,강요,주거침입등)","이종재범","소년범죄자 재범기간 및 종류","명","","","","","","","","","111","81","73","111","75","91",
"폭력행위등(손괴,강요,주거침입등)","1개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","10","6","10","17","9","10",
"폭력행위등(손괴,강요,주거침입등)","3개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","15","13","14","15","22","23",
"폭력행위등(손괴,강요,주거침입등)","6개월 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","14","9","15","14","10","11",
"폭력행위등(손괴,강요,주거침입등)","1년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","42","25","19","37","20","32",
"폭력행위등(손괴,강요,주거침입등)","2년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","13","12","7","20","9","9",
"폭력행위등(손괴,강요,주거침입등)","3년 이내","소년범죄자 재범기간 및 종류","명","","","","","","","","","9","8","4","6","4","5",
"폭력행위등(손괴,강요,주거침입등)","3년 초과","소년범죄자 재범기간 및 종류","명","","","","","","","","","8","8","4","2","1","1",
"폭력행위등(단체등의구성·활동)","합계","소년범죄자 재범기간 및 종류","명","5","43","17","2","18","122","141","64","45","79","17","31","21","26",
"폭력행위등(단체등의구성·활동)","동종재범","소년범죄자 재범기간 및 종류","명","2","28","5","1","11","37","48","31","16","41","5","14","14","12",
"폭력행위등(단체등의구성·활동)","1개월 이내","소년범죄자 재범기간 및 종류","명","-","1","3","-","1","5","4","2","3","-","-","","3","2",
"폭력행위등(단체등의구성·활동)","3개월 이내","소년범죄자 재범기간 및 종류","명","-","2","-","-","7","9","4","9","4","1","3","5","2","-",
"폭력행위등(단체등의구성·활동)","6개월 이내","소년범죄자 재범기간 및 종류","명","-","5","-","-","2","3","7","4","3","6","2","4","4","3",
"폭력행위등(단체등의구성·활동)","1년 이내","소년범죄자 재범기간 및 종류","명","1","17","1","1","1","16","22","12","3","17","-","2","3","5",
"폭력행위등(단체등의구성·활동)","2년 이내","소년범죄자 재범기간 및 종류","명","-","1","-","-","-","2","6","3","1","5","-","","1","-",
"폭력행위등(단체등의구성·활동)","3년 이내","소년범죄자 재범기간 및 종류","명","1","2","1","-","-","2","4","1","2","12","-","3","1","2",
"폭력행위등(단체등의구성·활동)","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","1","-","-","-","-","","-","-",
"폭력행위등(단체등의구성·활동)","이종재범","소년범죄자 재범기간 및 종류","명","3","15","12","1","7","85","93","33","29","38","12","17","7","14",
"폭력행위등(단체등의구성·활동)","1개월 이내","소년범죄자 재범기간 및 종류","명","-","1","1","-","1","13","5","5","7","2","-","","1","3",
"폭력행위등(단체등의구성·활동)","3개월 이내","소년범죄자 재범기간 및 종류","명","-","1","1","-","4","10","17","2","5","1","6","","1","3",
"폭력행위등(단체등의구성·활동)","6개월 이내","소년범죄자 재범기간 및 종류","명","1","-","1","-","1","7","10","2","4","13","2","2","2","-",
"폭력행위등(단체등의구성·활동)","1년 이내","소년범죄자 재범기간 및 종류","명","-","8","-","1","1","27","31","16","5","10","4","11","2","6",
"폭력행위등(단체등의구성·활동)","2년 이내","소년범죄자 재범기간 및 종류","명","1","3","3","-","-","15","12","3","4","7","-","","-","1",
"폭력행위등(단체등의구성·활동)","3년 이내","소년범죄자 재범기간 및 종류","명","-","1","5","-","-","6","11","5","4","5","-","3","1","-",
"폭력행위등(단체등의구성·활동)","3년 초과","소년범죄자 재범기간 및 종류","명","1","1","1","-","-","7","7","-","-","-","-","1","-","1",
"폭력행위등처벌에관한법률위반","합계","소년범죄자 재범기간 및 종류","명","3730","4824","7008","6952","5037","4755","7559","5487","","","","","","",
"폭력행위등처벌에관한법률위반","동종재범","소년범죄자 재범기간 및 종류","명","1599","1933","2674","2609","1928","1709","2768","2443","","","","","","",
"폭력행위등처벌에관한법률위반","1개월 이내","소년범죄자 재범기간 및 종류","명","123","201","343","441","205","275","448","259","","","","","","",
"폭력행위등처벌에관한법률위반","3개월 이내","소년범죄자 재범기간 및 종류","명","191","285","387","408","428","379","553","424","","","","","","",
"폭력행위등처벌에관한법률위반","6개월 이내","소년범죄자 재범기간 및 종류","명","172","262","346","356","302","240","423","401","","","","","","",
"폭력행위등처벌에관한법률위반","1년 이내","소년범죄자 재범기간 및 종류","명","594","712","1018","937","626","523","913","735","","","","","","",
"폭력행위등처벌에관한법률위반","2년 이내","소년범죄자 재범기간 및 종류","명","277","238","350","291","246","173","245","377","","","","","","",
"폭력행위등처벌에관한법률위반","3년 이내","소년범죄자 재범기간 및 종류","명","163","154","145","142","95","101","140","187","","","","","","",
"폭력행위등처벌에관한법률위반","3년 초과","소년범죄자 재범기간 및 종류","명","79","81","85","34","26","18","46","60","","","","","","",
"폭력행위등처벌에관한법률위반","이종재범","소년범죄자 재범기간 및 종류","명","2131","2891","4334","4343","3109","3046","4791","3044","","","","","","",
"폭력행위등처벌에관한법률위반","1개월 이내","소년범죄자 재범기간 및 종류","명","131","263","353","438","320","337","572","311","","","","","","",
"폭력행위등처벌에관한법률위반","3개월 이내","소년범죄자 재범기간 및 종류","명","220","294","506","585","539","514","707","427","","","","","","",
"폭력행위등처벌에관한법률위반","6개월 이내","소년범죄자 재범기간 및 종류","명","206","310","485","477","480","431","618","417","","","","","","",
"폭력행위등처벌에관한법률위반","1년 이내","소년범죄자 재범기간 및 종류","명","761","1067","1691","1661","1000","933","1481","902","","","","","","",
"폭력행위등처벌에관한법률위반","2년 이내","소년범죄자 재범기간 및 종류","명","354","432","685","679","464","499","732","504","","","","","","",
"폭력행위등처벌에관한법률위반","3년 이내","소년범죄자 재범기간 및 종류","명","232","303","367","345","184","225","359","308","","","","","","",
"폭력행위등처벌에관한법률위반","3년 초과","소년범죄자 재범기간 및 종류","명","227","222","247","158","122","107","322","175","","","","","","",
"위조범죄","합계","소년범죄자 재범기간 및 종류","명","141","184","370","498","512","446","861","807","702","713","744","580","545","459",
"위조범죄","동종재범","소년범죄자 재범기간 및 종류","명","23","19","46","52","82","43","120","265","296","211","258","168","231","199",
"위조범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","3","4","5","3","10","6","24","26","23","8","29","26","14","18",
"위조범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","-","1","4","4","9","6","19","40","31","25","40","30","34","27",
"위조범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","1","1","10","8","17","2","22","39","49","53","33","24","48","25",
"위조범죄","1년 이내","소년범죄자 재범기간 및 종류","명","13","7","21","31","26","13","35","77","99","57","91","51","72","61",
"위조범죄","2년 이내","소년범죄자 재범기간 및 종류","명","3","6","6","3","12","6","9","48","46","43","30","23","41","39",
"위조범죄","3년 이내","소년범죄자 재범기간 및 종류","명","3","-","-","3","6","7","7","28","39","18","24","12","16","21",
"위조범죄","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","3","4","7","9","7","11","2","6","8",
"위조범죄","이종재범","소년범죄자 재범기간 및 종류","명","118","165","324","446","430","403","741","542","406","502","486","412","314","260",
"위조범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","8","6","20","23","25","29","70","34","22","33","38","44","21","17",
"위조범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","7","10","27","40","40","43","85","62","48","61","49","57","51","35",
"위조범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","6","13","20","39","46","44","82","51","43","54","56","42","43","37",
"위조범죄","1년 이내","소년범죄자 재범기간 및 종류","명","48","70","123","157","138","138","224","173","126","173","174","132","102","79",
"위조범죄","2년 이내","소년범죄자 재범기간 및 종류","명","29","37","62","105","92","91","123","99","88","92","88","71","51","56",
"위조범죄","3년 이내","소년범죄자 재범기간 및 종류","명","15","12","45","54","65","41","80","76","54","63","53","45","39","25",
"위조범죄","3년 초과","소년범죄자 재범기간 및 종류","명","5","17","27","28","24","17","77","47","25","26","28","21","7","11",
"통화","합계","소년범죄자 재범기간 및 종류","명","-","11","8","5","8","13","10","11","2","14","19","12","10","12",
"통화","동종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","1","1","2","-","7","8","4","3","8",
"통화","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","3","2","-","1",
"통화","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","2","","1","1",
"통화","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","1","-","1","-","","1","1",
"통화","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","1","1","1","-","2","-","2","-","3",
"통화","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","3","2","","-","1",
"통화","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","","1","1",
"통화","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","1","-","","-","-",
"통화","이종재범","소년범죄자 재범기간 및 종류","명","-","11","8","5","7","12","9","9","2","7","11","8","7","4",
"통화","1개월 이내","소년범죄자 재범기간 및 종류","명","-","1","-","-","2","-","1","-","-","1","-","","-","-",
"통화","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","2","-","1","-","2","-","","2","1",
"통화","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","2","-","2","2","1","4","2","3","3","","-","-",
"통화","1년 이내","소년범죄자 재범기간 및 종류","명","-","1","2","3","1","8","2","1","-","-","3","4","1","-",
"통화","2년 이내","소년범죄자 재범기간 및 종류","명","-","8","1","2","1","-","2","1","-","1","1","1","-","3",
"통화","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","3","-","-","-","2","2","-","-","2","1","4","-",
"통화","3년 초과","소년범죄자 재범기간 및 종류","명","-","1","-","-","1","-","1","-","-","-","2","2","-","-",
"유가증권·인지·우표","합계","소년범죄자 재범기간 및 종류","명","-","4","4","2","4","-","-","-","1","11","-","2","10","2",
"유가증권·인지·우표","동종재범","소년범죄자 재범기간 및 종류","명","-","-","1","-","-","-","-","-","-","2","-","","5","-",
"유가증권·인지·우표","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","1","-",
"유가증권·인지·우표","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","1","-","","1","-",
"유가증권·인지·우표","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","-","-","-","-","-","-","-","","-","-",
"유가증권·인지·우표","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","1","-","","3","-",
"유가증권·인지·우표","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"유가증권·인지·우표","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"유가증권·인지·우표","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"유가증권·인지·우표","이종재범","소년범죄자 재범기간 및 종류","명","-","4","3","2","4","-","-","-","1","9","-","2","5","2",
"유가증권·인지·우표","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","-","-","-","-","1","-","","-","-",
"유가증권·인지·우표","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","1","-",
"유가증권·인지·우표","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","-","-","-","-","-","-","","-","-",
"유가증권·인지·우표","1년 이내","소년범죄자 재범기간 및 종류","명","-","1","3","1","-","-","-","-","-","5","-","","2","-",
"유가증권·인지·우표","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","2","-","1","-","-",
"유가증권·인지·우표","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","1","-","-","-","-","1","-","1","1","2",
"유가증권·인지·우표","3년 초과","소년범죄자 재범기간 및 종류","명","-","3","-","-","-","-","-","-","1","-","-","","1","-",
"문서","합계","소년범죄자 재범기간 및 종류","명","140","167","353","488","488","424","841","790","696","681","720","562","521","437",
"문서","동종재범","소년범죄자 재범기간 및 종류","명","23","19","43","52","76","39","117","261","295","202","248","164","221","189",
"문서","1개월 이내","소년범죄자 재범기간 및 종류","명","3","4","5","3","8","6","24","26","23","8","26","24","13","16",
"문서","3개월 이내","소년범죄자 재범기간 및 종류","명","-","1","4","4","9","6","19","40","31","24","37","30","32","25",
"문서","6개월 이내","소년범죄자 재범기간 및 종류","명","1","1","9","8","17","2","22","37","49","52","32","24","46","24",
"문서","1년 이내","소년범죄자 재범기간 및 종류","명","13","7","20","31","22","12","33","75","98","54","91","49","69","58",
"문서","2년 이내","소년범죄자 재범기간 및 종류","명","3","6","5","3","12","6","9","48","46","40","28","23","40","38",
"문서","3년 이내","소년범죄자 재범기간 및 종류","명","3","-","-","3","6","7","6","28","39","18","23","12","15","20",
"문서","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","-","4","7","9","6","11","2","6","8",
"문서","이종재범","소년범죄자 재범기간 및 종류","명","117","148","310","436","412","385","724","529","401","479","472","398","300","248",
"문서","1개월 이내","소년범죄자 재범기간 및 종류","명","8","5","20","22","22","27","68","33","22","30","38","42","21","17",
"문서","3개월 이내","소년범죄자 재범기간 및 종류","명","7","10","27","40","38","40","85","60","48","59","49","56","48","34",
"문서","6개월 이내","소년범죄자 재범기간 및 종류","명","6","13","17","39","41","41","80","47","40","49","53","41","43","36",
"문서","1년 이내","소년범죄자 재범기간 및 종류","명","47","67","116","151","134","128","217","170","126","167","169","128","98","78",
"문서","2년 이내","소년범죄자 재범기간 및 종류","명","29","29","61","103","90","91","121","98","87","88","87","69","50","51",
"문서","3년 이내","소년범죄자 재범기간 및 종류","명","15","11","42","53","64","41","77","74","54","60","50","43","34","23",
"문서","3년 초과","소년범죄자 재범기간 및 종류","명","5","13","27","28","23","17","76","47","24","26","26","19","6","9",
"인장","합계","소년범죄자 재범기간 및 종류","명","1","2","5","3","12","9","10","6","3","7","5","4","4","8",
"인장","동종재범","소년범죄자 재범기간 및 종류","명","-","-","2","-","5","3","2","2","1","-","2","","2","2",
"인장","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","-","-","-","-","-","-","","-","1",
"인장","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","","-","1",
"인장","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","1","-","-","1","","1","-",
"인장","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","3","-","1","1","1","-","-","","-","-",
"인장","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","-","-","-","-","-","-","-","","1","-",
"인장","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","1","-","-","-","-","","-","-",
"인장","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","3","-","-","-","-","-","","-","-",
"인장","이종재범","소년범죄자 재범기간 및 종류","명","1","2","3","3","7","6","8","4","2","7","3","4","2","6",
"인장","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","-","2","1","1","-","1","-","2","-","-",
"인장","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","1","-","1","-","-","-","1","-","-",
"인장","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","1","1","1","-","1","2","-","1","-","1",
"인장","1년 이내","소년범죄자 재범기간 및 종류","명","1","1","2","2","3","2","5","2","-","1","2","","1","1",
"인장","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","-","-","-","1","1","-","","1","2",
"인장","3년 이내","소년범죄자 재범기간 및 종류","명","-","1","-","-","-","-","1","-","-","2","1","","-","-",
"인장","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","2",
"공무원범죄","합계","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","동종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","이종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"공무원범죄","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","합계","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","동종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","이종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직무유기","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"직권남용","합계","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
